類別,建築物名稱,電腦編號,里別,座落,緯度,經度,新計算容量,轄管分局
"公有建築物","清華大學","FNA01024","光明里","新竹市東區光明里光復路二段101號","24.792968","120.9931349","121","第二分局"
"供公眾使用建築物","高迪有限公司","FNA01025","科園里","新竹市東區科園里民享街49號","24.7844063","121.0092273","43","第二分局"
"一般住宅","公寓","FNA01026","科園里","新竹市東區科園里民享街159巷45號","24.7801345","121.0107806","36","第二分局"
"公有建築物","陽明交通大學","FNA01027","軍功里","新竹市東區軍功里建功一路86-33號","24.7997872","120.9975484","138","第二分局"
"公有建築物","經濟部專業中心","FNA01029","光明里","新竹市東區光明里光復路二段3號","24.7916326","121.0012202","369","第二分局"
"公有建築物","陽明交通大學","FNA01030","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","711","第二分局"
"公有建築物","陽明交通大學","FNA01031","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","800","第二分局"
"一般住宅","大樓","FNA01032","軍功里","新竹市東區軍功里建功一路64號","24.7982751","120.997987","125","第二分局"
"公有建築物","清華大學","FNA01033","光明里","新竹市東區光明里光復路二段101號","24.792968","120.9931349","306","第二分局"
"一般住宅","大樓","FNA01034","科園里","新竹市東區科園里科園路2-8號","24.7820058","121.0118819","177","第二分局"
"一般住宅","大樓","FNA01035","龍山里","新竹市東區龍山里光復路一段544巷20弄11.13號","24.7872463","121.0111593","85","第二分局"
"公有建築物","陽明交通大學","FNA01037","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","921","第二分局"
"一般住宅","公寓","FNA01038","科園里","新竹市東區科園里民享街56-58號","24.7839374","121.0092444","34","第二分局"
"公有建築物","陽明交通大學","FNA01039","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","367","第二分局"
"一般住宅","公寓","FNA01041","光明里","新竹市東區光明里13鄰光復路二段155巷54號","24.7979091","120.992551","50","第二分局"
"公有建築物","清華大學","FNA01042","光明里","新竹市東區光明里光復路二段101號","24.792968","120.9931349","184","第二分局"
"公有建築物","經濟部專業研究中心","FNA01043","光明里","新竹市東區光明里15鄰光復路二段3號","24.7916277","121.0034089","860","第二分局"
"公有建築物","光復高中","FNA01044","光明里","新竹市東區光明里光復路二段153號","24.7983869","120.9940564","276","第二分局"
"公有建築物","清華大學","FNA01045","光明里","新竹市東區光明里光復路二段101號","24.792968","120.9931349","202","第二分局"
"公有建築物","清華大學","FNA01046","光明里","新竹市東區光明里光復路二段101號","24.792968","120.9931349","186","第二分局"
"公有建築物","清華大學","FNA01047","建功里","新竹市東區建功里18鄰金城一路52巷11-21號-B1","24.7946311","121.005115","1247","第二分局"
"一般住宅","昌禾世界島","FNA01050","龍山里","新竹市東區龍山里16鄰崇和路7號B3","24.7910587","121.0153515","6217","第二分局"
"一般住宅","大樓","FNA01052","光明里","新竹市東區光明里光復路二段155巷10弄1-1號","24.7982734","120.9927859","130","第二分局"
"一般住宅","公寓","FNA01053","科園里","新竹市東區科園里民享街158號","24.780592","121.0092713","32","第二分局"
"公有建築物","陽明交通大學","FNA01054","光明里","新竹市東區光明里20鄰大學路1001號","24.7867129","120.9996672","1158","第二分局"
"公有建築物","清華大學","FNA01056","光明里","新竹市東區光明里光復路二段101號","24.792968","120.9931349","186","第二分局"
"公有建築物","陽明交通大學","FNA01060","光明里","新竹市東區光明里20鄰大學路1001號B1","24.7867129","120.9996672","244","第二分局"
"供公眾使用建築物","裕泰金屬","FNA01061","埔頂里","新竹市東區埔頂里埔頂路6號","24.7929223","121.0075146","44","第二分局"
"公有建築物","陽明交通大學","FNA01062","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","191","第二分局"
"一般住宅","大樓","FNA01063","光明里","新竹市東區光明里大學路81巷1-3號","24.788634","121.002887","64","第二分局"
"一般住宅","大樓","FNA01064","光明里","新竹市東區光明里大學路81巷3弄1.3.5.7號","24.7884912","121.0030204","153","第二分局"
"一般住宅","公寓","FNA01066","光明里","新竹市東區光明里大學路81巷3弄2.4.7號","24.788345","121.0029239","180","第二分局"
"公有建築物","清華大學","FNA01067","光明里","新竹市東區光明里光復路二段101號","24.792968","120.9931349","300","第二分局"
"公有建築物","陽明交通大學","FNA01069","軍功里","新竹市東區軍功里建功一路64號","24.7982751","120.997987","81","第二分局"
"公有建築物","清華大學","FNA01071","光明里","新竹市東區光明里光復路二段101號","24.792968","120.9931349","492","第二分局"
"公有建築物","陽明交通大學","FNA01072","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","165","第二分局"
"公有建築物","清華大學","FNA01073","光明里","新竹市東區光明里光復路二段101號","24.792968","120.9931349","196","第二分局"
"公有建築物","清華大學","FNA01074","光明里","新竹市東區光明里光復路二段101號","24.792968","120.9931349","167","第二分局"
"公有建築物","陽明交通大學","FNA01075","光明里","新竹市東區光明里20鄰大學路1001號B1","24.7867129","120.9996672","286","第二分局"
"公有建築物","經濟部專業研究中心","FNA01076","光明里","新竹市東區光明里光明新村50-3號","24.7911974","120.9990909","154","第二分局"
"一般住宅","公寓","FNA01077","光明里","新竹市東區光明里大學路81巷3弄18號","24.787983","121.0029061","16","第二分局"
"一般住宅","大樓","FNA01078","光明里","新竹市東區光明里大學路81巷3弄16號","24.7880052","121.0029468","16","第二分局"
"一般住宅","公寓","FNA01079","光明里","新竹市東區光明里大學路81巷3弄14號","24.7880427","121.002993","16","第二分局"
"一般住宅","公寓","FNA01080","光明里","新竹市東區光明里大學路81巷3弄12號","24.7880795","121.0030262","15","第二分局"
"一般住宅","公寓","FNA01081","埔頂里","新竹市東區埔頂里埔頂路3-30號","24.7933645","121.0148742","42","第二分局"
"一般住宅","公寓","FNA01082","埔頂里","新竹市東區埔頂里1鄰埔頂路3-30號","24.7933645","121.0148742","42","第二分局"
"一般住宅","公寓","FNA01083","光明里","新竹市東區光明里光復路二段155.165巷23-29號","24.7955593","120.9984828","218","第二分局"
"公有建築物","光復高中","FNA01084","光明里","新竹市東區光明里光復路二段153號","24.7983869","120.9940564","153","第二分局"
"公有建築物","陽明交通大學","FNA01085","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","65","第二分局"
"一般住宅","公寓","FNA01088","光明里","新竹市東區光明里光復路二段30號","24.7955593","120.9984828","56","第二分局"
"一般住宅","大樓","FNA01089","埔頂里","新竹市東區埔頂里埔頂路22-3號","24.7934141","121.0081132","159","第二分局"
"一般住宅","大樓","FNA01090","軍功里","新竹市東區軍功里建功一路12號","24.7969615","120.9983823","93","第二分局"
"公有建築物","陽明交通大學","FNA01092","光明里","新竹市東區光明里20鄰大學路1001號B1","24.7867129","120.9996672","1787","第二分局"
"公有建築物","陽明交通大學","FNA01096","光明里","新竹市東區光明里大學路1001號","24.7867129","120.9996672","909","第二分局"
"公有建築物","陽明交通大學","FNA01098","光明里","新竹市東區光明里20鄰大學路1001號B1","24.7867129","120.9996672","1915","第二分局"
