類別,建築物名稱,電腦編號,里別,座落,緯度,經度,新計算容量,轄管分局
"一般住宅","和泰耳鼻喉科","FMA00015","崇禮里","新竹市北區崇禮里9鄰中山路296巷1號-B1","24.8022375","120.9610473","103","第一分局"
"一般住宅","大樓","FMA00022","崇禮里","新竹市北區崇禮里6鄰中山路252號B1","24.802684","120.9621669","233","第一分局"
"一般住宅","公寓","FMA00025","潛園里","新竹市北區潛園里1鄰西大路417號B1","24.8038964","120.9640286","34","第一分局"
"一般住宅","公寓","FMA00035","潛園里","新竹市北區潛園里西大路469巷2號B1","24.8049883","120.9630843","145","第一分局"
"一般住宅","公寓","FMA00038","潛園里","新竹市北區潛園里西大路513號B1","24.8059613","120.9623336","72","第一分局"
"一般住宅","鴻澤北大大樓","FMA00042","仁德里","新竹市北區仁德里仁德街50號","24.80673","120.9640636","135","第一分局"
"一般住宅","公寓","FMA00055","仁德里","新竹市北區仁德里長安街99號","24.8072929","120.9648883","135","第一分局"
"一般住宅","中山新貴大樓","FMA00100","石坊里","新竹市北區石坊里中山路163號","24.8030593","120.9634314","402","第一分局"
"一般住宅","中山晶華大樓","FMA00101","石坊里","新竹市北區石坊里中山路153號","24.8032808","120.9636782","675","第一分局"
"供公眾使用建築物","台灣基督長者教會","FMA00105","興南里","新竹市北區興南里勝利路247號B1","24.8026204","120.9631516","124","第一分局"
"一般住宅","附小巧筑社區","FMA00108","興南里","新竹市北區興南里13鄰德成街6-1號B1","24.8009101","120.9643953","1450","第一分局"
"一般住宅","戴珍唯寶公司","FMA00110","興南里","新竹市北區興南里西門街129號B1","24.8012444","120.9632621","108","第一分局"
"供公眾使用建築物","天主堂教會","FMA00111","興南里","新竹市北區興南里西門街165號B1","24.8007805","120.9631403","27","第一分局"
"供公眾使用建築物","仁愛之家","FMA00113","興南里","新竹市北區興南里西門街116號","24.8017248","120.9635931","534","第一分局"
"供公眾使用建築物","學租財團大樓","FMA00119","興南里","新竹市北區興南里5鄰西門街146號","24.8014392","120.9631362","1130","第一分局"
"供公眾使用建築物","新生醫院","FMA00122","興南里","新竹市北區興南里西門街120號","24.8016053","120.9634921","36","第一分局"
"一般住宅","水立方大樓","FMA00128","興南里","新竹市北區興南里中山路239-6號","24.8014621","120.962028","235","第一分局"
"一般住宅","中山福爵大樓","FMA00131","育英里","新竹市北區育英里中山路269號","24.8013112","120.961045","83","第一分局"
"一般住宅","蘭開夏大樓","FMA00133","育英里","新竹市北區育英里四維路63號","24.8004728","120.9610174","857","第一分局"
"一般住宅","上華名門大樓","FMA00137","育英里","新竹市北區育英里3鄰四維路91號","24.8010304","120.9605893","709","第一分局"
"公有建築物","清大附設實驗小學","FMA00146","育英里","新竹市北區育英里17鄰四維路47號B1","24.7997382","120.9616313","312","第一分局"
"一般住宅","公寓","FMA00147","育英里","新竹市北區育英里林森路242號B1","24.7982888","120.9625606","88","第一分局"
"一般住宅","公寓","FMA00150","育英里","新竹市北區育英里林森路248號B1","24.7981961","120.962411","135","第一分局"
"一般住宅","大樓","FMA00152","育英里","新竹市北區育英里林森路278號B1","24.7976748","120.961903","40","第一分局"
"一般住宅","協欣欣座大樓","FMA00154","育英里","新竹市北區育英里林森路302號B1","24.7973867","120.9614164","209","第一分局"
"一般住宅","仁愛中醫","FMA00155","育英里","新竹市北區育英里林森路310號B1","24.7972892","120.9612076","122","第一分局"
"一般住宅","公寓","FMA00156","育英里","新竹市北區育英里西門街201巷24-26號B1","24.7995295","120.9625572","148","第一分局"
"一般住宅","奇公寓達車藝廠","FMA00157","育英里","新竹市北區育英里四維路58號","24.7990634","120.962502","153","第一分局"
"一般住宅","公寓","FMA00158","育英里","新竹市北區育英里四維路21巷31-39號B1","24.797966","120.96184","195","第一分局"
"一般住宅","師院名門社區","FMA00161","育英里","新竹市北區育英里四維路50號","24.7988529","120.9626332","511","第一分局"
"公有建築物","清大附設實驗小學","FMA00162","育英里","新竹市北區育英里17鄰四維路47號","24.7997382","120.9616313","141","第一分局"
"一般住宅","立人社區","FMA00163","育英里","新竹市北區育英里林森路210巷8-3號","24.7990026","120.9630145","91","第一分局"
"一般住宅","立人社區","FMA00164","育英里","新竹市北區育英里林森路210巷2-1號","24.7988426","120.9631704","72","第一分局"
"一般住宅","立人社區","FMA00165","育英里","新竹市北區育英里林森路210巷8-1號","24.7989272","120.9630507","77","第一分局"
"一般住宅","立人社區","FMA00166","育英里","新竹市北區育英里林森路210巷6-8號","24.7987504","120.9630955","57","第一分局"
"一般住宅","公寓","FMA00168","育英里","新竹市北區育英里四維路17號B1","24.7982114","120.9627237","100","第一分局"
"公有建築物","清大附設實驗小學","FMA00170","育英里","新竹市北區育英里17鄰四維路47號","24.7997382","120.9616313","131","第一分局"
"公有建築物","清大附設實驗小學","FMA00171","育英里","新竹市北區育英里17鄰四維路47號","24.7997382","120.9616313","125","第一分局"
"公有建築物","清大附設實驗小學","FMA00172","育英里","新竹市北區育英里17鄰四維路47號B1","24.7997382","120.9616313","108","第一分局"
"一般住宅","公寓","FMA00173","育英里","新竹市北區育英里林森路240號B1","24.798318","120.962603","88","第一分局"
"一般住宅","歐香名城","FMA00175","台溪里","新竹市北區台溪里中山路451號B1","24.7982024","120.9565365","450","第一分局"
"一般住宅","家美生活家","FMA00176","台溪里","新竹市北區台溪里2鄰中華路三段42號B3","24.7973161","120.9625993","1545","第一分局"
"一般住宅","聯合大樓祥仁內科","FMA00177","台溪里","新竹市北區台溪里中華路三段9號B2","24.7969422","120.9634195","751","第一分局"
"一般住宅","希爾頓大樓","FMA00178","台溪里","新竹市北區台溪里四維路8號","24.7976564","120.9635547","482","第一分局"
"一般住宅","大樓","FMA00179","台溪里","新竹市北區台溪里中華路三段228號B1","24.7967342","120.9564732","101","第一分局"
"一般住宅","民宅","FMA00180","台溪里","新竹市北區台溪里中華路三段224號B1","24.7967832","120.9565416","103","第一分局"
"一般住宅","都會風采","FMA00183","台溪里","新竹市北區台溪里中華路三段85號B1","24.7967165","120.9615579","226","第一分局"
"一般住宅","宏普人力","FMA00184","台溪里","新竹市北區台溪里中華路三段50號","24.7971089","120.9622712","217","第一分局"
"一般住宅","東京LIFE","FMA00185","台溪里","新竹市北區台溪里中華路三段91號B1","24.7967287","120.9613682","334","第一分局"
"一般住宅","公寓鼎泰建材行","FMA00187","台溪里","新竹市北區台溪里中華路三段37號B1","24.7968942","120.9626717","85","第一分局"
"一般住宅","公寓","FMA00189","台溪里","新竹市北區台溪里中華路三段68號B1","24.7970261","120.9618346","85","第一分局"
"一般住宅","公寓","FMA00190","台溪里","新竹市北區台溪里四維路15號B1","24.7982128","120.962726","93","第一分局"
"一般住宅","公寓","FMA00191","台溪里","新竹市北區台溪里中華路三段101號B1","24.7966051","120.961143","246","第一分局"
"一般住宅","同信天廈","FMA00192","台溪里","新竹市北區台溪里中華路三段128號","24.7969001","120.9599294","622","第一分局"
"一般住宅","少年之家","FMA00195","曲溪里","新竹市北區曲溪里崧嶺路181號B1","24.7913331","120.9543941","660","第一分局"
"一般住宅","公寓","FMA00196","客雅里","新竹市北區客雅里延平路一段214巷34弄14-18號B1","24.8057488","120.9543428","350","第一分局"
"一般住宅","公寓","FMA00197","客雅里","新竹市北區客雅里延平路一段244、246號B1","24.8051488","120.953302","151","第一分局"
"一般住宅","公寓","FMA00198","客雅里","新竹市北區客雅里經國路二段462號B1","24.8058724","120.9556744","141","第一分局"
"一般住宅","公寓","FMA00199","客雅里","新竹市北區客雅里延平路一段214巷34弄6號B1","24.8058832","120.9539278","172","第一分局"
"一般住宅","公寓","FMA00200","客雅里","新竹市北區客雅里經國路二段635號B1","24.8016882","120.9548371","84","第一分局"
"一般住宅","公寓","FMA00201","客雅里","新竹市北區客雅里延平路一段214巷34弄43號B1","24.806381","120.953445","315","第一分局"
"一般住宅","公寓","FMA00202","客雅里","新竹市北區客雅里經國路二段637號B1","24.8016724","120.9548111","102","第一分局"
"一般住宅","公寓","FMA00203","客雅里","新竹市北區客雅里經國路二段639號B1","24.8015944","120.9547923","181","第一分局"
"一般住宅","陽光臻品","FMA00206","中雅里","新竹市北區中雅里11鄰中和路117號-B1","24.8018964","120.9549459","761","第一分局"
"一般住宅","振益機車行","FMA00207","中雅里","新竹市北區中雅里經國路二段626號B1","24.801484","120.954033","38","第一分局"
"公有建築物","西門國小","FMA00211","西雅里","新竹市北區西雅里1鄰北大路450號B1","24.8026949","120.9596744","1125","第一分局"
"供公眾使用建築物","喜悅足體","FMA00216","西雅里","新竹市北區西雅里北新街3號B1","24.802009","120.9595695","64","第一分局"
"一般住宅","北大名鑽","FMA00217","西雅里","新竹市北區西雅里北大路468號B1-B2","24.8017042","120.9600676","325","第一分局"
"一般住宅","大樓中山雙喜","FMA00218","西雅里","新竹市北區西雅里中和路20號B1","24.8007156","120.9576169","504","第一分局"
"一般住宅","公寓","FMA00219","西雅里","新竹市北區西雅里中山路344巷28弄1號B1","24.8013221","120.9584453","215","第一分局"
"供公眾使用建築物","正大幼兒園","FMA00220","西雅里","新竹市北區西雅里北新街41號B1","24.8024077","120.958163","25","第一分局"
"一般住宅","宏普人力添登樓","FMA00222","西雅里","新竹市北區西雅里6鄰中和路28號B1","24.8008732","120.9573875","103","第一分局"
"一般住宅","如億西校大廈","FMA00224","西雅里","新竹市北區西雅里北新街23巷7號B1","24.8018869","120.9586938","361","第一分局"
"公有建築物","西門國小","FMA00228","西雅里","新竹市北區西雅里1鄰北大路450號B1","24.8026949","120.9596744","87","第一分局"
"一般住宅","公寓","FMA00231","西雅里","新竹市北區西雅里中和路68號B1","24.8014241","120.9565404","108","第一分局"
"一般住宅","大樓","FMA00238","西雅里","新竹市北區西雅里中和路51號B1","24.80102","120.9567739","353","第一分局"
"一般住宅","大樓","FMA00240","南勢里","新竹市北區南勢里延平路一段401巷2號","24.8047274","120.9479377","134","第一分局"
"一般住宅","公寓","FMA00241","南勢里","新竹市北區南勢里竹光路413號B1","24.8057309","120.9518293","389","第一分局"
"公有建築物","公路局新竹工務段","FMA00243","曲溪里","新竹市北區曲溪里崧嶺路40號B1","24.7952804","120.9554086","416","第一分局"
"一般住宅","煙波花樣","FMA00248","曲溪里","新竹市北區曲溪里7鄰崧嶺路2號B1","24.7960312","120.9558279","2431","第一分局"
"一般住宅","大鵬新城","FMA00249","中雅里","新竹市北區中雅里6鄰凌雲街110號B1","24.8027746","120.9535888","18671","第一分局"
"供公眾使用建築物","天公壇","FMA00251","育英里","新竹市北區育英里中山路431巷36號","24.799599","120.9587298","316","第一分局"
"一般住宅","大樓","FMA00252","育英里","新竹市北區育英里中山路431巷70號B1","24.8004999","120.9594187","91","第一分局"
"一般住宅","大樓","FMA00253","育英里","新竹市北區育英里中山路431巷39號B1","24.8002542","120.9588824","41","第一分局"
"一般住宅","公寓","FMA00255","育英里","新竹市北區育英里西門街299巷10號B1","24.798631","120.9596892","337","第一分局"
"一般住宅","公寓","FMA00258","育英里","新竹市北區育英里中山路319巷25弄6號B1","24.7998728","120.9599044","71","第一分局"
"一般住宅","公寓","FMA00259","育英里","新竹市北區育英里中山路393巷10弄7號B1","24.7994935","120.958889","134","第一分局"
"一般住宅","君臨江山","FMA00264","西門里","新竹市北區西門里江山街31號-B1","24.8044421","120.964217","38","第一分局"
"一般住宅","公寓","FMA00273","文雅里","新竹市北區文雅里5鄰城北街107號B1","24.8118462","120.963249","34","第一分局"
"一般住宅","民宅","FMA00278","湳中里","新竹市北區湳中里7鄰湳中街30巷11之1號B1","24.8207782","120.9663182","63","第一分局"
"一般住宅","公寓","FMA00279","湳中里","新竹市北區湳中里7鄰湳中街30巷11之2號B1","24.8207782","120.9663182","66","第一分局"
"一般住宅","民宅","FMA00280","湳中里","新竹市北區湳中里7鄰湳中街30巷11之3號B1","24.8207782","120.9663182","65","第一分局"
"一般住宅","民宅","FMA00281","湳中里","新竹市北區湳中里7鄰湳中街30巷17號B1","24.8209253","120.9664172","218","第一分局"
"一般住宅","民宅","FMA00282","湳中里","新竹市北區湳中里7鄰湳中街30巷27號B1","24.8211713","120.9667534","35","第一分局"
"一般住宅","大樓","FMA00283","湳中里","新竹市北區湳中里1鄰湳中街35號B1","24.8199343","120.9662329","250","第一分局"
"一般住宅","大樓","FMA00284","湳中里","新竹市北區湳中里1鄰湳中街37號B1","24.8200971","120.9662321","204","第一分局"
"一般住宅","水晶馥園","FMA00285","湳中里","新竹市北區湳中里6鄰湳中街42號B1","24.8208497","120.9656015","413","第一分局"
"一般住宅","萬邦花園廣場","FMA00288","湳中里","新竹市北區湳中里1鄰湳中街63-1號B1","24.8204451","120.9657316","106","第一分局"
"一般住宅","公寓","FMA00290","湳中里","新竹市北區湳中里5鄰湳中街68巷20-22號B1","24.8218997","120.965347","97","第一分局"
"一般住宅","公寓","FMA00291","湳中里","新竹市北區湳中里5鄰湳中街68巷54-56號B1","24.8221149","120.9655406","63","第一分局"
"一般住宅","公寓","FMA00292","湳中里","新竹市北區湳中里5鄰湳中街86號B1","24.8218328","120.9644849","52","第一分局"
"一般住宅","公寓","FMA00293","湳中里","新竹市北區湳中里2鄰湳中街65巷1號B1","24.8205785","120.9655533","43","第一分局"
"一般住宅","公寓","FMA00296","湳中里","新竹市北區湳中里3鄰湳中街89號B1","24.8210596","120.9649433","57","第一分局"
"一般住宅","公寓","FMA00298","湳中里","新竹市北區湳中里2鄰湳中街65巷12號B1","24.8204942","120.9652932","70","第一分局"
"一般住宅","民宅","FMA00299","湳中里","新竹市北區湳中里7鄰湳中街30巷17號B1","24.8210073","120.966457","136","第一分局"
"一般住宅","武陵中正大樓","FMA00300","湳中里","新竹市北區湳中里10鄰武陵路171號B1","24.8209259","120.9681016","1590","第一分局"
"一般住宅","大樓","FMA00301","湳中里","新竹市北區湳中里5鄰湳中街68巷48-52號B1","24.8220878","120.9655123","87","第一分局"
"一般住宅","民宅","FMA00302","湳中里","新竹市北區湳中里8鄰湳中街22巷90號B1","24.8213943","120.966836","32","第一分局"
"一般住宅","民宅","FMA00303","湳中里","新竹市北區湳中里9鄰湳中街12號B2","24.8197998","120.9667622","761","第一分局"
"一般住宅","公寓","FMA00305","湳中里","新竹市北區湳中里2鄰湳中街65巷20號B1","24.8203878","120.965016","510","第一分局"
"一般住宅","公寓","FMA00306","湳中里","新竹市北區湳中里3鄰湳中街107號B1","24.8215851","120.9643393","28","第一分局"
"一般住宅","大樓","FMA00307","湳中里","新竹市北區湳中里2鄰湳中街65巷3-5號B1","24.8203795","120.9655606","113","第一分局"
"一般住宅","大樓","FMA00308","湳中里","新竹市北區湳中里4鄰湳中街87巷14弄57號B1","24.8210071","120.9635437","59","第一分局"
"一般住宅","金鼎大廈","FMA00309","湳中里","新竹市北區湳中里1鄰湳中街9-11號B1","24.819586","120.9666621","250","第一分局"
"一般住宅","大樓","FMA00310","湳中里","新竹市北區湳中里3鄰湳中街87巷1號B1","24.8206599","120.9649495","194","第一分局"
"一般住宅","私立禾果幼兒園","FMA00311","湳中里","新竹市北區湳中里3鄰湳中街71號B1","24.820777","120.9654414","267","第一分局"
"一般住宅","公寓","FMA00312","境福里","新竹市北區境福里14鄰成功路65巷5號B1","24.8148695","120.9565616","225","第一分局"
"一般住宅","公寓","FMA00313","境福里","新竹市北區境福里14鄰成功路65巷9號B1","24.8148695","120.9565616","202","第一分局"
"一般住宅","公寓","FMA00314","境福里","新竹市北區境福里18鄰成功路65巷12號B1","24.814678","120.9564472","279","第一分局"
"一般住宅","富源中正名門社區","FMA00318","境福里","新竹市北區境福里13鄰中正路485巷2號B1","24.815803","120.9582201","224","第一分局"
"一般住宅","中正伯爵社區","FMA00319","境福里","新竹市北區境福里23鄰中正路485巷19號-B1","24.815793","120.95833","1336","第一分局"
"一般住宅","正群花園社區","FMA00320","境福里","新竹市北區境福里13鄰中正路489號B1","24.8161705","120.9580561","1149","第一分局"
"一般住宅","公寓","FMA00321","境福里","新竹市北區境福里14鄰成功路9號B1","24.8161233","120.9572906","81","第一分局"
"一般住宅","公寓","FMA00322","境福里","新竹市北區境福里14鄰成功路7-20號B1","24.8161482","120.9573174","70","第一分局"
"一般住宅","雅築特區社區","FMA00323","境福里","新竹市北區境福里2鄰成功路13巷9號B1","24.8155718","120.9581771","273","第一分局"
"一般住宅","公寓","FMA00324","境福里","新竹市北區境福里17鄰成功路123號B1","24.8140944","120.9553433","52","第一分局"
"一般住宅","公寓","FMA00325","境福里","新竹市北區境福里17鄰成功路129號B1","24.8139501","120.955094","48","第一分局"
"一般住宅","公寓","FMA00326","境福里","新竹市北區境福里14鄰成功路51號","24.8153492","120.9564199","31","第一分局"
"一般住宅","公寓","FMA00327","境福里","新竹市北區境福里17鄰成功路143號","24.8137176","120.9547091","118","第一分局"
"一般住宅","谷峯雅築","FMA00328","境福里","新竹市北區境福里17鄰成功路95巷13號B1","24.8141971","120.9557896","388","第一分局"
"一般住宅","大樓","FMA00329","武陵里","新竹市北區武陵里22鄰東大路二段334號","24.8191006","120.9626641","109","第一分局"
"一般住宅","大樓","FMA00332","光田里","新竹市北區光田里8鄰水田街150巷8弄2號B1","24.814927","120.967611","92","第一分局"
"一般住宅","皇昱京都社區","FMA00333","福林里","新竹市北區福林里4鄰境福街176巷9號B1","24.8200387","120.9599748","180","第一分局"
"一般住宅","皇昱京都社區","FMA00334","福林里","新竹市北區福林里4鄰境福街176巷26號B1","24.8199498","120.9602304","160","第一分局"
"一般住宅","公寓","FMA00335","福林里","新竹市北區福林里1鄰境福街56巷2弄1-5號B1","24.8171312","120.9617253","136","第一分局"
"公有建築物","新竹市士林市場","FMA00337","境福里","新竹市北區境福里6鄰東大路二段477號B1","24.8207363","120.9603415","520","第一分局"
"一般住宅","公寓","FMA00338","福林里","新竹市北區福林里3鄰東大路二段369號B1","24.8189199","120.9618796","45","第一分局"
"一般住宅","銘傑大廈社區","FMA00343","福林里","新竹市北區福林里7鄰東大路二段307號B1","24.8179276","120.9631669","11","第一分局"
"一般住宅","大樓","FMA00345","福林里","新竹市北區福林里9鄰東大路二段261號B1","24.8168325","120.9640928","324","第一分局"
"一般住宅","公寓","FMA00348","福林里","新竹市北區福林里20鄰東大路二段217巷54弄2號B1","24.8152981","120.9637618","191","第一分局"
"一般住宅","公寓","FMA00349","福林里","新竹市北區福林里7鄰東大路二段333號B1","24.8183749","120.9627142","73","第一分局"
"一般住宅","民宅","FMA00350","光華里","新竹市北區光華里9鄰光華北街84號","24.817041","120.9712584","371","第一分局"
"一般住宅","民宅","FMA00353","光華里","新竹市北區光華里5鄰光華街90號","24.8175222","120.9723429","90","第一分局"
"一般住宅","大樓","FMA00354","光華里","新竹市北區光華里3鄰光華街52巷15號B1","24.8154978","120.9736466","105","第一分局"
"一般住宅","民宅","FMA00360","光華里","新竹市北區光華里4鄰光華南街51-53號","24.8165582","120.9730809","77","第一分局"
"一般住宅","水晶香榭公寓大廈","FMA00361","光華里","新竹市北區光華里8鄰光華街95巷93之3號B2","24.8178952","120.9718556","417","第一分局"
"一般住宅","大樓","FMA00363","光華里","新竹市北區光華里8鄰光華街91號-B1","24.817242","120.97202","118","第一分局"
"一般住宅","水晶華廈","FMA00364","光華里","新竹市北區光華里8鄰光華街93號-B1","24.8173372","120.9721374","378","第一分局"
"一般住宅","晴園逸境","FMA00365","光華里","新竹市北區光華里10鄰光華街95巷11號-B1","24.8175105","120.9715023","379","第一分局"
"一般住宅","公寓","FMA00367","光華里","新竹市北區光華里7鄰光華南街92號B1","24.8166317","120.9710203","78","第一分局"
"一般住宅","金華大樓","FMA00368","光華里","新竹市北區光華里20鄰光華南街56號B1","24.8167834","120.9731779","2104","第一分局"
"一般住宅","公寓","FMA00369","光華里","新竹市北區光華里7鄰光華南街76號B1","24.8166527","120.9720436","165","第一分局"
"一般住宅","光華大廈","FMA00370","光華里","新竹市北區光華里5鄰光華街78巷3號B1","24.8171687","120.9728659","1461","第一分局"
"一般住宅","水晶香榭","FMA00371","光華里","新竹市北區光華里9鄰光華北街64-66號B1","24.8176566","120.9718629","33","第一分局"
"一般住宅","卓越大樓","FMA00373","光華里","新竹市北區光華里9鄰經國路一段824號B2","24.8140934","120.9686899","369","第一分局"
"一般住宅","公寓","FMA00374","光田里","新竹市北區光田里13鄰水田街220號B1","24.8166362","120.9692448","58","第一分局"
"一般住宅","大樓","FMA00375","光田里","新竹市北區光田里13鄰水田街216號B1","24.8165286","120.9692469","103","第一分局"
"一般住宅","大樓","FMA00376","光田里","新竹市北區光田里10鄰水田街198號B1","24.8162897","120.9688269","130","第一分局"
"一般住宅","公寓","FMA00377","光田里","新竹市北區光田里13鄰水田街218號B1","24.8165024","120.9693498","64","第一分局"
"一般住宅","公寓","FMA00378","光田里","新竹市北區光田里17鄰水田街206巷22號B1","24.8157244","120.9694695","6","第一分局"
"一般住宅","大樓","FMA00379","光田里","新竹市北區光田里15鄰水田街162號B1","24.8156949","120.9681081","166","第一分局"
"一般住宅","公寓","FMA00380","光田里","新竹市北區光田里13鄰水田街214之1號B1","24.8164609","120.9691294","185","第一分局"
"一般住宅","公寓","FMA00381","光田里","新竹市北區光田里15鄰水田街168號B1","24.8157451","120.9683146","58","第一分局"
"公有建築物","光田里集會所","FMA00382","光田里","新竹市北區光田里8鄰水田街150巷6號B1","24.8150682","120.9676671","58","第一分局"
"一般住宅","大樓","FMA00383","光田里","新竹市北區光田里10鄰水田街196巷1-4號B1","24.8160799","120.9689332","361","第一分局"
"一般住宅","大樓","FMA00384","光田里","新竹市北區光田里8鄰水田街132號B1","24.8148711","120.967321","47","第一分局"
"一般住宅","大樓","FMA00385","光田里","新竹市北區光田里12鄰水田街150巷16弄3號","24.8153714","120.9687539","54","第一分局"
"公有建築物","台大醫院新竹分院-醫護宿舍","FMA00387","金華里","新竹市北區金華里21經國路一段442巷47號B1","24.8173384","120.9799847","624","第一分局"
"一般住宅","大樓","FMA00388","金華里","新竹市北區金華里16鄰光華二街72巷25弄12號","24.8194624","120.9773319","263","第一分局"
"一般住宅","公寓","FMA00389","金華里","新竹市北區金華里17鄰光華二街72巷45號","24.8183542","120.9784231","153","第一分局"
"公有建築物","台大醫院新竹分院-新樓","FMA00390","金華里","新竹市北區金華里21鄰經國路一段442巷25號B1","24.8174645","120.9799468","340","第一分局"
"一般住宅","翠玉宮廷社區","FMA00391","金華里","新竹市北區金華里21鄰經國路一段454巷42號B1","24.815967","120.979345","472","第一分局"
"一般住宅","綠園社區","FMA00392","金華里","新竹市北區金華里21鄰經國路一段454巷41號B1","24.8161278","120.978692","322","第一分局"
"公有建築物","台大醫院新竹分院-竹樓","FMA00393","金華里","新竹市北區金華里21鄰經國路一段442巷25號-B1","24.8174645","120.9799468","2303","第一分局"
"一般住宅","新竹小城社區","FMA00394","金華里","新竹市北區金華里26鄰光華二街72巷38之1號B2","24.8173398","120.9791869","6003","第一分局"
"公有建築物","台大醫院新竹分院-靜心樓","FMA00396","金華里","新竹市北區金華里21鄰經國路一段442巷25之1號B1","24.8152746","120.9800043","536","第一分局"
"公有建築物","台大醫院新竹分院-宿舍區","FMA00397","金華里","新竹市北區金華里21鄰經國路一段442巷31號","24.8167608","120.9796712","380","第一分局"
"一般住宅","民宅","FMA00398","金竹里","新竹市北區金竹里12鄰湳雅街311巷50弄9號","24.8238414","120.974117","122","第一分局"
"一般住宅","武陵世家大樓","FMA00399","金竹里","新竹市北區金竹里8鄰武陵路265-269號B1","24.8241234","120.9707974","444","第一分局"
"公有建築物","光華國中","FMA00411","光華里","新竹市北區光華里16鄰光華北街10號-B1","24.8179332","120.9738593","475","第一分局"
"公有建築物","光華國中","FMA00413","光華里","新竹市北區光華里16鄰光華北街14號","24.8179079","120.9736186","66","第一分局"
"公有建築物","光華國中","FMA00414","光華里","新竹市北區光華里16鄰光華北街16號","24.8178908","120.9735592","544","第一分局"
"公有建築物","光華國中","FMA00415","光華里","新竹市北區光華里16鄰光華北街10號","24.8179332","120.9738593","27","第一分局"
"一般住宅","格瑞絲社區","FMA00416","金華里","新竹市北區金華里光華二街1號","24.8168339","120.9741942","51","第一分局"
"公有建築物","光華國中","FMA00417","光華里","新竹市北區光華里光華北街14號","24.816544","120.9766601","91","第一分局"
"一般住宅","大樓","FMA00418","舊社里","新竹市北區舊社里2鄰湳雅街238號B1","24.8224219","120.9764569","114","第一分局"
"一般住宅","民宅","FMA00419","舊社里","新竹市北區舊社里3鄰湳雅街242號B1","24.8223029","120.9766305","498","第一分局"
"一般住宅","民宅","FMA00420","舊社里","新竹市北區舊社里5鄰湳雅街263號B1","24.822127","120.975508","114","第一分局"
"一般住宅","大樓","FMA00421","光田里","新竹市北區光田里1鄰水田街55號B1","24.8150652","120.9671404","13","第一分局"
"一般住宅","芳鄰藥局","FMA00422","光田里","新竹市北區光田里6鄰水田街157號B1","24.8167241","120.968877","40","第一分局"
"一般住宅","公寓","FMA00423","光田里","新竹市北區光田里2鄰水田街87號B1","24.815681","120.967685","17","第一分局"
"一般住宅","公寓","FMA00424","光田里","新竹市北區光田里2鄰水田街75號B1","24.8156074","120.9674098","37","第一分局"
"一般住宅","公寓","FMA00425","光田里","新竹市北區光田里1鄰東大路二段166號B1","24.8155509","120.9662335","20","第一分局"
"公有建築物","民富國小","FMA00426","民富里","新竹市北區民富里1鄰西大路561號B1","24.8084309","120.9605035","1290","第一分局"
"公有建築物","南寮國小","FMA00428","南寮里","新竹市北區南寮里3鄰東大路三段465號-B1","24.8388178","120.939602","831","第一分局"
"一般住宅","南海明珠","FMA00429","海濱里","新竹市北區海濱里海濱路55巷12號-B1","24.8441459","120.9270111","292","第一分局"
"供公眾使用建築物","天仁幼兒園","FMA00430","南寮里","新竹市北區南寮里東大路三段467巷52號-B1","24.8379084","120.9382117","74","第一分局"
"一般住宅","公寓","FMA00431","南寮里","新竹市北區南寮里東大路四段268-1號-B1","24.8451835","120.9289331","72","第一分局"
"一般住宅","宏家凱悅社區大樓","FMA00432","南寮里","新竹市北區南寮里延平路三段669號B1","24.8404365","120.936107","222","第一分局"
"一般住宅","海德堡三期社區","FMA00434","康樂里","新竹市北區康樂里2鄰東大路三段510巷8號-B1","24.8374813","120.9424825","1100","第一分局"
"一般住宅","皇凱大樓","FMA00436","康樂里","新竹市北區康樂里3鄰東大路三段397號-B1","24.8372049","120.9423165","1114","第一分局"
"一般住宅","巨林美而美","FMA00437","康樂里","新竹市北區康樂里東大路三段470號B1","24.8369641","120.9430898","195","第一分局"
"一般住宅","海濱貴族","FMA00438","海濱里","新竹市北區海濱里延平路三段433巷2號-B1","24.8367571","120.9313376","341","第一分局"
"公有建築物","南華國中","FMA00439","海濱里","新竹市北區海濱里11鄰海濱路55號-B1","24.8440459","120.9274134","292","第一分局"
"一般住宅","淳美學","FMA00440","康樂里","新竹市北區康樂里7鄰東大路三段406號-B1","24.8360682","120.9444782","332","第一分局"
"供公眾使用建築物","快樂地幼兒園","FMA00441","康樂里","新竹市北區康樂里7鄰東大路三段402號-B1","24.8359817","120.9445853","154","第一分局"
"一般住宅","涵翠庭大樓","FMA00442","南寮里","新竹市北區南寮里1鄰東大路三段439巷9號-B1","24.8376841","120.941091","326","第一分局"
"一般住宅","大樓","FMA00443","水田里","新竹市北區水田里2鄰北大路150號","24.8101701","120.968127","321","第一分局"
"一般住宅","藝術名宮大樓","FMA00444","金竹里","新竹市北區金竹里22鄰武陵路271巷17號B1","24.8244857","120.9704872","533","第一分局"
"供公眾使用建築物","新復珍大樓","FMA00445","中山里","新竹市北區中山里12鄰北門街6號","24.8048768","120.9661909","523","第一分局"
"一般住宅","公寓","FMA00446","金華里","新竹市北區金華里10鄰田美三街62號B2","24.8167408","120.9768703","1340","第一分局"
"一般住宅","公寓","FMA00447","北門里","新竹市北區北門里17鄰中正路257號","24.8127972","120.963721","28","第一分局"
